field_1,NODATA->Zona sense polÃ­gons,Aigues continentals,Basses urbanes,Boscos clars (no de ribera),Boscos clars de ribera,Boscos densos (no de ribera),Boscos densos de ribera,Canals i basses i agricoles,Conreus,Matollars,Plantacions de platans,Plantacions de pollancres,Platges,Prats i herbassars,Roquissars,Sols nus forestals,Sols nus urbans,Tarteres,Zones cremades,Zones d'extraccio minera,Zones urbanitzades,Total
Sant Martí Sarroca,0,0,0,0.8,0,18.32,2.07,0,61.99,10.04,0,0.06,0,1.19,0.05,0.11,0.57,0,0,0.01,4.81,"100"
Sant Pere de Ribes,0,0.04,0,10.11,0.12,27.61,3.03,0.01,15.17,19.36,0.13,0.74,0,13.3,3.44,1.05,0.24,0,0,0,5.65,"100"
Sant Pere de Riudebitlles,0,0,0.29,2.78,0,16.76,4.06,0,45.44,9.7,0,0.02,0,5.7,0,0.37,1.03,0,0,0,13.87,"100"
Sant Pere de Vilamajor,0,0.24,0,5.29,0,53.41,0.98,0.01,12.99,13.26,0.06,0.22,0,7.44,2.63,0.5,0.25,0,0,0,2.72,"100"
Sant Pol de Mar,0.39,0,0.02,0.92,0,34.86,0.04,0.12,13.36,12.3,0.18,0.09,1.52,10.06,0.01,0.69,1.34,0,0,0,24.08,"100"
Sant Quintí de Mediona,0,0,0.02,2.46,0,34.19,2.58,0.02,40.46,11.47,0,0,0,2.58,0,0.23,0.61,0,0,0.01,5.37,"100"
Sant Quirze del Vallès,0,0.22,0,3.93,0.03,26.02,3.01,0.01,20.91,14.1,0.21,0.34,0,15.71,4.01,2.57,0.83,0,0,0,8.11,"100"
Sant Quirze Safaja,0,0.69,0,2.75,0,19.41,1.46,0,15.94,39.76,0.05,0.08,0,10.34,1.56,1.93,0.18,0,0,0,5.84,"100"
Sant Sadurní d'Anoia,0,0.18,0.09,1.16,0.03,12.93,4.95,0.09,49.3,9.33,0,0.11,0,3.74,0.03,0.63,1.56,0,0.03,0.07,15.76,"100"
Sant Vicenç de Montalt,0.05,0,0.11,0.69,0,43.56,0.21,0,2.18,7.07,0.04,0.09,0.97,4.93,0,0.5,2.86,0,0,0,36.74,"100"
Sant Vicenç dels Horts,0,0.95,0,2.8,0.02,19.02,0.27,0.04,28.97,10.58,0.11,0.04,0,8.55,1.59,1.84,2.8,0,0,0,22.41,"100"
Santa Coloma de Cervelló,0,0.9,0,1.84,0,16.92,1.58,0,22.43,13.66,0,0.13,0,19.88,4.49,4.39,3.24,0,0,0,10.54,"100"
Santa Coloma de Gramenet,0,1.92,0.09,0.53,0,8.3,0,0.01,0.37,26.47,0,0,0,2.81,0,0.49,3.51,0,0,0,55.52,"100"
Santa Eulàlia de Ronçana,0,0.05,0.08,6.38,0.05,26.44,5.11,0.01,11.39,23.23,0.17,1.37,0,17.52,0.89,1.65,0.33,0,0,0,5.33,"100"
Santa Fe del Penedès,0,0,0,0.03,0.18,1.24,6.64,0,79.88,3.93,0,0.05,0,2.76,0,0.34,0.48,0,0,0,4.47,"100"
Santa Margarida i els Monjos,0,0.19,0.01,5.04,0,9.18,1.99,0,31.69,23.36,0.09,0.05,0,9.7,1.63,3.28,1.22,0,0,0,12.56,"100"
Santa Maria de Martorelles,0,0,0,1.16,0,74.36,1.56,0,7.19,8.5,0,0,0,1.07,0.13,0.07,0.85,0,0,0,5.12,"100"
Santa Maria de Palautordera,0,0.03,0.03,1.67,0.24,26.06,9.18,0.04,21.16,10.03,1.41,0.69,0,8.01,1.86,1.61,2.5,0,0,0,15.5,"100"
Santa Perpètua de Mogoda,0,0.03,0.01,12.26,0,11.99,1.42,0.01,23.73,14.26,0.38,0.14,0,6.95,0.97,3.47,2.2,0,0,0,22.19,"100"
Santa Susanna,0.14,0,0,0.47,0,63.5,0.46,0.01,9.56,4.95,0.2,0.29,0.88,2.35,0,0.49,1.08,0,0,0,15.63,"100"
Sentmenat,0,0.01,0.02,3.5,0.01,10.38,0.97,0,9.94,18.14,0.27,0.63,0,35.57,4.91,9.35,0.13,0,0,0,6.18,"100"
Sitges,0.17,0.03,0,5.25,0.04,10.2,1.29,0.02,18.19,18.84,0.09,0.28,0.43,6.95,1.92,2.21,0.53,0,0,0,33.57,"100"
Subirats,0,0.08,0.02,3.74,0.07,22.79,2.07,0.01,39.34,12.71,0.01,0.15,0,11.5,0.11,0.43,0.76,0,0,0,6.21,"100"
Tagamanent,0,0.02,0,3.5,0.03,9.99,1.33,0,3.95,20,0.05,0.04,0,55.78,1.25,0.36,0.24,0,0,0,3.44,"100"
Teià,0,0,0.1,2.95,0,24.1,0.04,0.06,14.22,26.64,0,0,0,1.83,0,1.12,2.61,0,0,0,26.34,"100"
Terrassa,0,0.17,0.02,8.21,0.76,22.12,1.91,0.01,15.14,25.59,0.82,0.23,0,10.11,5,2.14,1.36,0,0,0,6.41,"100"
Tiana,0,0,0,2.3,0,9.7,0.04,0.02,16.15,48.66,0.01,0,0,2.53,0.05,0.64,1.62,0,0,0,18.28,"100"
Tordera,0.01,0.15,0.04,3.11,0.03,61.84,0.98,0.05,14.45,4.35,0.54,1.24,0,2.36,0.01,0.69,1.41,0,0,0.05,8.7,"100"
Torrelavit,0,0,0,1.37,0.02,20.56,5.83,0,59.76,6.36,0.02,0.05,0,1.42,0.02,0.4,0.41,0,0,0,3.77,"100"
Torrelles de Foix,0,0,0,1.54,0,40.81,1.01,0.01,30.53,17.4,0.1,0.06,0,2.63,0.04,0.24,0.4,0,0,0.04,5.2,"100"
Torrelles de Llobregat,0,0.11,0.1,4.1,0.02,26.97,1.87,0,12.36,17.01,0.21,1.3,0,25.9,1.43,1.83,0.45,0,0,0,6.35,"100"
Ullastrell,0,0,0.03,3.58,0,40.84,1.89,0,14.52,26.27,0,0.08,0,3.79,0.09,0.55,1.06,0,0,0,7.3,"100"
Vacarisses,0,0.1,0.01,6.21,0.01,25.5,3.26,0,15.94,15.6,2.27,0.33,0,10.36,11.42,0.62,0.29,0,0,0,8.06,"100"
Vallgorguina,0,0,0,0.62,0,78.5,0.61,0.01,3.95,2.67,2.4,0.77,0,2.18,0.1,0.23,0.56,0,0,0,7.39,"100"
